experiment_name,model_name,model_size_b,r,alpha,learning_rate,train_loss,eval_loss,perplexity,training_time_minutes,quality_score
qwen_0_5b_qlora,Qwen/Qwen2.5-0.5B-Instruct,0.5,8,16,0.0002,2.0819897079467773,1.4153573513031006,4.1179577606449485,1.3443773190180461,0.2428388191731674
qwen_1_5b_qlora,Qwen/Qwen2.5-1.5B-Instruct,1.5,8,16,0.0002,1.910322494506836,1.3397122621536255,3.8179447800928936,1.6301589886347452,0.26192102232962866
smollm2_1_7b_qlora,HuggingFaceTB/SmolLM2-1.7B-Instruct,1.7,8,16,0.0002,2.1165395736694337,1.7938029766082764,6.012273580586457,1.3735536257425944,0.16632642985990947
qwen_1_5b_lora_r16,Qwen/Qwen2.5-1.5B-Instruct,1.5,16,32,0.0002,1.560379467010498,1.0152069330215454,2.759934459865448,1.6475491285324098,0.36232744456140165
qwen_1_5b_lora_lr1e4,Qwen/Qwen2.5-1.5B-Instruct,1.5,8,16,0.0001,2.3445102691650392,2.024698495864868,7.573827060176426,1.597149129708608,0.1320336458773995
